// Desert Crisis Texture Types.  Modify this file only if texture names are changed!
// FINISHED REVENANT. NOTE: only the first 12 characters of the texture name are used
//CONCRETE	'C'			// texture types
//METAL		'M'
//DIRT		'D'
//VENT		'V'
//GRATE		'G'
//TILE		'T'
//SLOSH		'S'
//WOOD		'W'
//COMPUTER	'P'
//GLASS		'Y'
//FLESH		'F'
//PAVEMENT	'A'
//ROCK		'R'
//LOOSEROCK	'O'
//GRAVEL	'E'
//SNOW		'N'
//ICE		'I'
//LEAVES	'L'
//MUD		'U'
//DRYWALL	'H'
//CARPET	'J'
//BRICKS	'K'
//SAND		'Q'
//CLOTH		'X'
//GRASS		'Z'
//NO EFFECTs	'B'

B BLACK
D OUT_GRSS1
D OUT_DIRT1
D OUT_DIRT2
D GENERIC48
D GENERIC49
D GENERIC51
D GENERIC52
D GENERIC93
D OUT_PAVE2
D OUT_SNBAG
D OUT_SNBAG2
D OUT_SNBAGB
D OUT_SNBAGC
D OUT_NET1
D OUT_NET1B
D FROSTSEWFLR
D DIRT1
D DIRT10
D DIRT11
D DIRT12
D DIRT13
D DIRT14
D DIRT15
D DIRT16
D DIRT17
D DIRT18
D DIRT19
D DIRT2
D DIRT3
D DIRT4
D DIRT5
D DIRT6
D DIRT7
D DIRT8
D DIRT9
D GROUND1
D GROUND2
D GROUND3
D GROUND4
D GROUND5
D GROUND6
D GROUND7
D GROUND8
D GROUND9
D M_DIRTY1
D M_DIRTY2

D GROUND_BUSH
D GROUND_DIRT
D GROUND_DRY
D GROUND_DRY1
D GROUND_DRY2
D GROUND_LEAVES

E DC_ROOFCRUD01
E DC_GRAVELCRAP01
E DC_GRAVELCRAP01
E DC_ROOFCRUD01
E GRAVEL1
E GRAVEL2
E GRAVEL3
E GRAVEL4
E GRAVEL5
E GRAVEL6
E GRAVEL7
E GRAVEL8
E GRAVEL9
E ROCKS1
E ROCKS2
E ROCKS3
E ROCKS4
E ROCKS5
E SCH10
E SCH11
E {N_DEBRIS
E M_RUBBLE2

G FENCE2
G GRATE4A
G GENERIC109
G GENERIC015C
G GENERIC015D
G GENERIC015E
G GENERIC015F
G GENERIC015G
G GENERIC015H
G GENERIC015I
G GENERIC015
G GENERIC015A
G GENERIC015B
G BABTECH_FLR02
G CRETE2_FLR03
G CRETE2_FLR03A
G CRETE2_FLR03B
G CRETE2_FLR03C
G ELEV1_FLR
G ELEV2_FLR
G ELEV_FLR
G GRATE1
G GRATE2
G GRATE2A
G GRATE3A
G GRID1
G GRID2
G TNNL_FLR12
G TNNL_FLR12A
G TNNL_FLR1A
G LAB1_STAIR2A
G FROSTFLOOR
G GRATE4A
G GRATE3B
G GRATESTEP1
G GRATESTEP2
G GRATESTEP3
G GRID1
G GRID2
G GENERIC015V
G WINDOW1
G WINDOW2
G VENT_LARGE

H DC_PLASTER01
H DC_PLASTER02
H DC_STUCCO02
H DC_STUCCO03
H DC_WALL01
H DC_WALL02
H DC_WALL04
H DC_WALL04A
H DC_WALL04B
H DC_WALL05
H DC_WALL05A
H DC_WALL09
H DC_WALL10
H DC_WALL11
H DC_WALL12
H DC_WALL13
H DC_WALL14
H DC_WALL15
H DC_WALL16
H DC_WALL17
H DC_WALL18
H DC_WALL19
H DC_WALL20
H DC_WALL21
H DC_WALL22
H DC_WALLPAPER01
H DC_WALLPAPER02
H DC_WALLPAPER03
H DC_WALLPAPER04
H WALL_BROWN
H WALL_OLDWHITE
H WALL_PLAIN
H WALL_SCRATCH
H M_STUCKO1
H M_STUCKO2
H M_STUCKO3
H M_STUCKO4
H M_STUCKO5
H M_WINDOW3WALL
H M_DIRTYSTUCKO

J DC_FLOOR03
J DC_FLOOR04
J DC_FLOOR05
J BEAR1
J DC_RUG1
J DC_RUG2
J DC_RUG3
J CARPET
J CARPET2
J CARPET3
J CARPET4
J CARPET5
J WALL_DIRTYWHITE

K SANDYWALL
K SANDYWALL_BRICK
K DC_WALLZ01
K DC_WALLZ02
K DC_BRICKS01
K DC_BRICKS02
K DC_BRICKS03
K DC_BRICKS04
K DC_BRICKS04A
K DC_BRICKS05
K DC_BRICKS06
K DC_BRICKS07
K DC_BRICKS08
K DC_BRICKS09
K DC_BRICKS10
K DC_BRICKS11
K DC_BRICKS12
K DC_BRICKS13
K DC_BRICKS14
K DC_BRICKS15
K DC_BRICKS15a
K DC_BRICKS16
K DC_BRICKS17
K DC_BRICKS18
K DC_BRICKS19
K DC_BRICKS20
K DC_BRICKS21
K DC_BRICKS22
K DC_BRICKS23
K DC_BRICKS24
K DC_BRICKS25
K DC_BRICKS26
K DC_BUILDING01
K DC_BUILDING02
K DC_BUILDING03
K DC_BUILDING04
K DC_BUILDING05
K DC_BUILDING06
K DC_STONE02
K DC_WALL03
K DC_WALL06
K BFACE1
K BFACE1_2
K BFACE1_3
K BFACE2
K BFACE2_2
K BFACE2_3
K BFACE3
K BFACE3_2
K BFACE3_3
K BFACE4
K BFACE4_2
K BFACE4_3
K BRICK1
K BRICK2
K BRICK3
K BRICK4
K BRICK_NORMAL
K BRICK_POORMAN
K BRICK_POORMAN2
K BRICK_WHITE
K SAND_BRICK
K SAND_BRICK1
K WALL_GRAYBRICK
K DC_COMPOUND2
K B_SR_20Z
K B_SR_C09
K B_SR_C09AA
K M_BRICK4
K M_BRICKWALL2
K M_CHAREDWALL
K M_CHAREDWINDOW1
K M_CRACKBRICK1
K M_CRACKBRICK2
K M_DARKBRICK1
K M_LIGHTBRICK1
K M_TOWERBRICK
K M_OLDBRICK
K M_WEEDBRICK

//M TNNL_FLR6
//M TNNL_FLR6B
M C1A1_FLR1
M BABFL
M C2A3TURBINE1
M C2A3TURBINE2
M C2A3TURBINE3
M C2A3TURBINE4
M SILO2_P2
M SILO2_P2B
M SILO2_P3
M SILO2_P4
M SILO2_PAN2
M SILO2_W1
M SILO2_W1A
M SILO2_WALL1
M SILO2_W2
M BABTECH_C5
M LAB3_FLR2A
M LAB3_FLR2B
M FIFTIES_CMP3
M LAB1_STAIR2B
M OUT_QUNST11
M FREEZER_FLR1
M GENERIC015N
M GENERIC015P
M GENERIC015R
M GENERIC0150
M GENERIC015S
M GENERIC015T
M GENERIC015U
M GENERIC015V
M GENERIC015V2
M C1A4_DOME3
M FIFTIES_DSK5A
M FIFTSFILE1
M FIFTSFILE2B
M DC_ARMYCRATE01
M DC_ARMYCRATETOP
M DC_CRATELRG1
M DC_CRATELRG1A
M DC_CRATELRG1TOP
M DC_DOOR02
M DC_DOOR04
M DC_DOOR05
M DC_DOOR06
M DC_DOOR08
M DC_DOOR09
M DC_FANS01
M DC_METAL01
M DC_METAL02
M DC_METAL03
M DC_METAL04
M DC_METALBEAMS01
M DC_METALBEAMS02
M DC_METALFLR01
M DC_METALFLR02
M DC_METALFLR03
M DC_MISSLES01
M DC_RUSTYTANK
M DC_SIDING01
M DC_SIDING02
M DC_SIDING03
M DC_TRAINWHLFRONT
M DC_TRAINWHLSIDE
M DC_BUS
M DC_CAMOTRUCK01
M DC_CAMOTRUCK02
M DC_CAR01
M DC_CAR02
M DC_CAR02A
M DC_CAR02B
M DC_CAR02C
M DC_CAR03
M DC_CAR03A
M DC_CAR03A
M DC_CAR03C
M DC_HUMMER01
M DC_HUMMER01A
M DC_HUMMER01AA
M DC_HUMMER01B
M DC_HUMMER01C
M DC_HUMMER01CA
M DC_HUMMER01E
M DC_HUMMER01F
M DC_HUMMER01G
M DC_RVTRUCK
M DC_TRUCK
M DC_WAGONCAMO
M EXITONLY
M EXITONLY2
M FRIDGE1
M LIGH1_ON
M LIGHT1
M METALPOLE1
M METALPOLE2
M MINIGUN1
M NOSMOKE
M PANEL
M SEWER1
M SEWER2
M SEWER3
M SEWER4
M SPEAKER
M SPEAKER1
M STOPSIGN
M TRUCK1
M WARNING1
M WHITEWALL
M DOOR_2
M DOOR_21
M DOOR_3
M DOOR_GARAGE
M FENCE_METAL
M FENCE_METAL2
M ITEM_ATM
M ITEM_COKE
M ITEM_COKESIDE
M ITEM_FTN
M ITEM_FTNSIDE
M ITEM_HYDRANT
M ITEM_ICEMACH
M ITEM_PHONE
M ITEM_PHONESIDE
M ITEM_POWERGEN
M ITEM_SEWERLID
M ITEM_SEWERLID2
M ITEM_TRASH
M METAL_BROWN
M METAL_DIRTY
M WALL_METAL
M WALL_METALOLD
M WALL_METALRUST
M WALL_MRUSTOP
M {DC_COMPOUND1
M {K_BARB1
M {K_BARB2
M {M_BARB3
M {N_RAILING
M M_DOOR2
M BARREL2
M BARREL2A
M BARREL2B
M BARREL3
M BARREL4
M NWBARREL
M TANKSIDE
M TANKTUR
M TANKTOP
M TRK_HOOD
M TRK_DOOR
M TRK_BED
M TRK_AXLE
M TRK_BUMBER
M TRK_DASH
M TRK_FENDER
M TRK_GRILLE
M TRK_INDOOR
M TRK_RIM
M TRK_SHOCKS
M TRK_SIDE
M TRK_TIRE
M TRK_PIPE
M XCRATE1A
M XCRATE1B
M XCRATE1C
M XCRATE1D
M XCRATE4A
M XCRATE4B
M XCRATE5A
M XCRATE5B
M XCRATE6
M XCRATE6B
M XCRATE6C
M XCRATE7A
M XCRATE7B
M XCRATE7C
M XCRATE9A
M XCRATE9B
M XCRATE9C
M XCRATE9D
M XCRATE10A
M XCRATE10B
M XCRATE10C
M XCRATE10D
M XCRATE10E
M XCRATE11A
M XCRATE11B
M XCRATE11C
M XCRATE11D
M XCRATE11E
M XCRATE12A
M XCRATE12B
M GENERIC101B2
M LAB1_DOOR1
M BARRELTOP


N DC_SNOW_CLIFF01
N DC_SNOW_CLIFF02
N DC_SNOW_CLIFF03
N DC_SNOW_MOUND01
N DC_SNOW_ROCKS01
N DC_SNOW01
N DC_SNOW02
N DC_SNOWRUBBLE02
N SNOW_ICE
N M_SNOW2

Q MTN_SAND
Q DC_SAND
Q SAND_GROUND
Q SAND_GROUND1
Q M_SAND1
Q M_SAND2
Q P_BEACH0
Q DC_SAND01
Q DC_SAND02
Q DC_SAND03
Q DC_SAND04
Q SAND1

S GENERIC_114
S WATERBLUE
S WATERGREEN
S TOXICGRN
S FLUID1A
S FLUID1B
S FLUID2
S FLUID3
S FLUID4
S WATERSILO
S WATERSILO2
S WATERF
S FLUID1A
S POOLWATER01
S WAVES

T FIFT_BLOODFLR
T FIFT_BLOODFLRA
T FIFTIES_F01
T FIFTIES_F02
T FIFTIES_F03
T FIFTIES_F03B
T FIFTIES_FLR01
T FIFTIES_FLR02
T FIFTIES_FLR02B
T FIFTIES_FLR02C
T FIFTIES_FLR03
T FIFTIES_FLR03B
T FIFTIES_FLR5
T LAB1_BLUXFLR1
T LAB1_BLUXFLR1B
T LAB1_BLUX1
T LAB1_BLUX1B
T LAB1_C4003
T LAB1_C4A001
T LAB1_C4B002
T LAB1_C4D2
T LAB1_CAB2
T LAB1_FLOOR2A
T LAB1_FLOOR2B
T LAB1_FLOOR3
T LAB1_FLOOR4
T LAB1_FLOOR5
T LAB1_FLOOR6
T LAB1_FLOOR10
T LAB1_FLR3
T LAB1_FLR4
T LAB1_FLR4B
T LAB1_FLR4C
T LAB1_FLR4D
T LAB1_FLR5B
T LAB1_FLR5C
T LAB1_FLR5D
T LAB1_FLR5D
T LAB1_FLR6B
T LAB1_FLR6C
T LAB1_FLR6D
T LAB1_W8FLR1
T LAB1_W8FLR1B
T LAB1_W8FLR1C
T LAB1_W8FLR1D
T C2A4_FLR6
T C1A2_FLR1
T C1A2_FLR2
T C1A0_LABFLRB
T C1A0_LABFLRC
T C1A0_LABFLRD
T C1A0_LABFLRE
T C1A0_LABFLR
T DRKMTLT_BORD11
T TILE_BLUE
T DC_BATHTILE01
T DC_BATHTILE02
T DC_BATHTILE03
T DC_BATHTILE04
T DC_FLOOR01
T DC_FLOOR02
T DC_FLOOR06
T DC_FLOOR07
T DC_FLOOR08
T DC_FLOOR09
T DC_FLOOR11
T DC_FLOOR12
T DC_FLOOR13
T DC_FLOOR14
T DC_FLOOR15
T DC_FLOOR15B
T DC_WALL08
T BLUETILE
T GRAYTILES
T GREENTILE
T TILE1
T M_TILE1
T M_TILE2

// UNBREAKABLE CRATES
W DC_FENCE01

W CARDBOX1
W CARDBOX4
W CARBBOXBOT1
W CARDBOXTOP1
W CARDBOXBOXTOP2
W DC_WOODBORD01
W DC_WOODBORD02
W DC_WOODFENCE01
W DC_WOODFENCE02
W DC_WOODFENCE05
W DC_WOODFLR04
W DC_WOODFLR08
W DC_WOODFLR09
W DC_WOODPNL01
W PFAB_BKS1A
W PFAB_BKS1B
W PREFABBOOK1
W PREFABBOOK2
W PREFABBOOK3
W DC_WOODFLOOR
W DC_WOODFLOOR1
W DC_WOODFLOOR2
W EGG_CONFIGSYNC
W EGG_JAPANIME
W EGG_ME
W EGG_WHY
W SARC_1
W SARC_2
W SARC_3
W CRATE01
W CRATE02
W CRATE02B
W CRATE03
W CRATE04
W CRATE05
W CRATE06
W CRATE07
W CRATE08
W CRATE08B
W CRATE09
W CRATE09B
W CRATE09C
W CRATE19
W CRATE20
W CRATE21
W CRATE22
W CRATE23
W CRATE25
W FIFTIES_DR6
W FIFTIES_DR6A
W FIFTIES_DR1K
W FIFTIES_DR1
W FIFTIES_DR2
W FIFTIES_DR7
W FIFTIES_DR8
W FIFTIES_DR9
W FIFTIES_DSK1
W OUT_SLAT01
W OUT_WD
W OUT_CAC1
W OUT_CAC2
W OUT_CAC2
W BCRATE02
W BCRATE03
W BCRATE04
W BCRATE05
W BCRATE06
W BCRATE07
W BCRATE08
W BCRATE12
W BCRATE14
W BCRATE15
W BCRATE16
W BCRATE17
W BCRATE18
W BCRATE25
W BCRATE26
W CRATE10
W CRATE11
W CRATE12
W CRATE13
W CRATE24
W CRATE27
W DC_SIDING1
W DC_SIDING2
W ROMANROOF
W {DC_FENCE01
W {DC_GATE01
W DC_CRATE01
W DC_CRATE02
W DC_CRATE03
W DC_CRATE04
W DC_CRATE05
W DC_CRATE06
W DC_CRATE07
W DC_CRDBRDBOX01
W DC_CRDBRDBOX02
W DC_CRDBRDBOX03
W DC_CRDBRDBOX04
W DC_DOOR01
W DC_DOOR03
W DC_DOOR07
W DC_DOOR10
W DC_DOOR11
W DC_DOOR12
W DC_DOOR13
W DC_FLOOR10
W DC_HAY01
W DC_HAY02
W DC_HAYSIDE
W DC_ROOF01
W DC_ROOF02
W DC_ROOF03
W DC_ROOF04
W DC_ROOF05
W DC_WOODBORD01
W DC_WOODBORD02
W DC_WOODBORD03
W DC_WOODFENCE01
W DC_WOODFENCE02
W DC_WOODFENCE03
W DC_WOODFENCE04
W DC_WOODFENCE05
W DC_WOODFENCE06
W DC_WOODFLR01
W DC_WOODFLR02
W DC_WOODFLR03
W DC_WOODFLR04
W DC_WOODFLR05
W DC_WOODFLR06
W DC_WOODFLR07
W DC_WOODFLR08
W DC_WOODFLR09
W DC_WOODFLR10
W DC_WOODFLR11
W DC_WOODFLR12
W DC_WOODPNL01
W DC_WOODPNL02
W DC_WOODPNL03
W DC_WOODPNL04
W DC_WOODPNL05
W DC_WOODPNL06
W DC_WOODPNL07
W DC_WOODPNL08
W DC_WOODPNL09
W DC_WOODPNL10
W DC_WOODPNL11
W DC_WOODPNL12
W DC_WOODPNL13
W ACGRATE1
W ALTAR1
W ALTAR2
W CABINENT1
W DOOR1
W SCH12
W SCH13
W SCH16
W SCH4
W SCH5
W SCH6
W SCH7
W SCH8
W TELEPLE1
W TELEPLE2
W TREE1
W TREE2
W WOOD1
W WOOD2
W WOOD3
W WOOD4
W WOOD5
W WOOD6
W DOOR_WOOD
W FENCE_WOOD
W FENCE_WOOD2
W FLOOR_WOODDES
W WOOD
W WOOD_BLAND
W WOOD_BOARD
W WOOD_OLD
W {M_WOODPLANKS
W M_DOOR1
W M_WOOD1
W EASTDOOR1
W EASTWNDWN0B
W EASTWNDWN1

O HARDGROUND
O DC_BROKENCRAP01
O DC_BROKENCRAP02
O DC_DIRT01
O DC_DIRT01A
O DC_DIRT02
O DC_DIRT03
O DC_DIRT04
O DC_DIRT05
O DC_DIRT06SAND
O DC_DIRT07
O SCH9
O GROUND_PEBBLE

P C3A1_NRC2
P C1A1_GAD1
P C1A1_GAD2
P C1A1_GAD3
P C1A1_GAD4
P C1A1_GAD4A
P C1A1_GGT8
P C1A4_PAN1A
P C1A4_PAN1B
P C1A4_SWTCH1
P C2A2_SATORB
P C2A4_CMP1
P C2A4_GAD2
P C3A2A_W1D
P C3A2A_W1E
P C3A2A_W2D
P C3A2A_W2E
P DRKMTL_SCRN2
P DRKMTL_SCRN3
P DRKMTL_SCRN4
P DRKMTLT_WALL
P FIFTIES_GGT8
P FIFTIES_MON1
P FIFTIES_MON1B
P FIFTIES_MON2
P FIFTIES_MON2B
P FIFTIES_MON3
P FIFTIES_MON3B
P FIFTIES_MON4
P FIFTIES_PAN2
P GENERIC105
P GENERIC106
P GENERIC107
P GENERIC114
P GENERIC87A
P GENERIC88A
P GENERIC89A
P GENERIC113
P LAB1_CMPM1
P LAB1_CMPM2
P LAB1_CMPM3
P LAB1_CMPM4
P LAB1_CMPM5
P LAB1_CMPM6
P LAB1_CMPM7
P LAB1_CMPM8
P LAB1_COMP1
P LAB1_COMP2
P LAB1_COMP3
P LAB1_COMP2A
P LAB1_COMP10A
P LAB1_COMP10B
P LAB1_COMP10C
P LAB1_COMP10D
P LAB1_COMP10E
P LAB1_COMP7
P LAB1_COMP8
P LAB1_COMP9A
P LAB1_COMP9A2
P LAB1_COMP9B
P LAB1_COMP9C
P LAB1_COMP9D
P LAB1_GAD2
P LAB1_GAD3
P LAB1_GAD4
P LAB1_RADSCRN2
P LAB4_GAD3
P LAB4_GAD4
P LAB4_SWTCH
P LAB_COMPM4
P RECHARGEA
P TNNL_GAD1
P TNNL_GAD2
P TNNL_GAD4
P C2A4C2C
P C2A4W1B
P LAB1_CMP
P LAB1_CMP1
P LAB1_CMP2
P LAB1_COMP3
P LAB1_COMP3A
P LAB1_COMP3B
P LAB1_COMP3C
P LAB1_COMP3D
P LAB1_COMP4
P LAB1_COMP5
P LAB1_COMP7
P LAB1_COMP8
P LAB1_SW1
P LAB_CRT1
P LAB_CRT10A
P LAB_CRT10B
P LAB_CRT10C
P LAB_CRT10D
P LAB_CRT2
P LAB_CRT3
P LAB_CRT4
P LAB_CRT5
P LAB_CRT6
P LAB_CRT7
P LAB_CRT8
P LAB_CRT9C
P CRETESTCH01A
P DRKMTLLGT1
P FIFTS_LGHT01
P FIFTS_LGHT3
P FIFTS_LGHT4
P FIFTIES_LGT2
P FIFTS_LGHT5
P GYMLIGHT
P LIGHT1
P LIGHT2A
P LIGHT3A
P LIGHT3B
P LIGHT3C
P LIGHT3D
P LIGHT3E
P LIGHT3F
P LIGHT4A
P LIGHT5A
P LIGHT5B
P LIGHT5C
P LIGHT5D
P LIGHT5E
P LIGHT5F
P LIGHT6A
P METALSTCH2
P TNNL_LGT1
P TNNL_LGT2
P TNNL_LGT3
P TNNL_LGT4
P LAB1_GAD2
P ELEV1_DWN
P SPOTBLUE
P SPOTGREEN
P SPOTRED
P SPOTYELLOW
P LAB1_GAD3
P LAB1_GAD3B
P ELEV2_PAN
P ELEV1_PAN
P C2A4X_C3
P C2A4X_C1
P MEDKIT
P DC_DRINK7UP
P DC_DRINKCOKE
P DC_OBJECT_ATM
P POP1
P POP2
P SCH14
P SCH15
P TV

X FIFTIES_CCH1
X FIFTIES_CCH2
X FIFTIES_CCH3
X FIFTIES_CCH4
X ORIENTRUG_1
X ORIENTRUG_2
X ORIENTRUG_3
X ORIENTRUG_4
X ORIENTRUG_5
X ORIENTRUG_6
X DC_CUSION01
X DC_CUSION02
X DC_CUSION03
X DC_CUSION04
X DC_CUSION05
X DC_CUSIONSEAT
X DC_MATTRES01
X PAPERS1
X PAPERS2
X PAPERS3
X PAPERS4
X PAPERS5
X PAINTING01
X PAINTING02
X PAINTING03
X PAINTING04
X PAINTING05
X PAINTING06
X PAINTING07
X PAINTING08
X PAINTING09
X PAINTING10
X PAINTING11
X PAINTING12
X PAINTING13
X PAINTING14
X PAINTING15
X PAINTING16
X PAINTING17
X PAINTING18
X PAINTING19
X PAINTING20
X ARTH1
X ARTH2
X ARTH3
X ARTH4
X ARTH5
X ARTH6
X ARTH7
X ARTH8
X ARTH9
X ARTH10
X ARTH11
X ARTH12
X ARTH13
X ARTH14
X ARTH15
X ARTH16
X ARTH17
X ARTH18
X ARTH19
X ARTH20
X TRK_CABACK
X TRK_CANVAS
X EASTLINE1
X EASTLINE2
X EASTLINE3
X XCRATE8
X XCRATE8C
X OUT_TNT2
X OUT_TNT1
X OUT_TNT1B
X OUT_TNT1C
X OUT_TNT3
X OUT_TNT3B

Y GLASS_BRIGHT
Y GLASS_DARK
Y GLASS_MED
Y GLASSBLUE1
Y GLASSBLUE2
Y GLASSGREEEN
Y GLASSGREEEN
Y DC_WINDOW
Y DC_WINDOW1
Y DC_WALLZ03
Y DC_WINDOW01
Y DC_WINDOW02
Y DC_WINDOW03
Y DC_WINDOW04
Y DC_WINDOW05
Y DC_WINDOW06
Y DC_WINDOW07
Y DC_WINDOW08
Y DC_WINDOW09
Y DC_WINDOW10
Y DC_WINDOW11
Y DC_WINDOW12
Y DC_WINDOW13
Y DC_WINDOW14
Y DC_WINDOW15
Y DC_WINDOW16
Y DC_WINDOW17
Y DC_WINDOW18
Y DC_WINDOW19
Y DC_WINDOW20
Y DC_WINDOW23
Y LAMP1
Y LAMP2
Y LAMP3
Y STOREFRONT
Y S_PORTAL
Y STAING1
Y STAING2
Y STAING3
Y STAING4
Y M_WINDOW1
Y M_WINDOW3


Z GRASS_GREEN
Z GRASS_GREEN1
Z GRASS1
Z GRASS2
Z GRASS3
Z GRASS4
Z GRASS5
Z GRASS5
Z GRASS6
Z M_DEADGRASS
Z M_DEADGRASS2
Z M_GRASS1
Z M_GRASSCLIFF
Z OUT_GROUND5
